observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-34.321, -16.660, 100.321, 100.273, -64.602, 183.498, 0.0, 1.0, 0.0]",,,,,,
"[-34.321, -16.660, 100.321, 100.273, -64.602, 183.498, 0.0, 1.0, 0.0]",,,,,,
"[5.263, -20.161, 116.814, 86.379, -85.846, 180.284, 0.0, 1.0, 0.0]",,,,,,
"[0.007, -17.117, 119.670, 79.190, -91.438, 229.223, 0.0, 1.0, 0.0]",,,,,,
"[-1.654, -15.694, 118.754, 79.522, -93.827, 263.361, 0.0, 1.0, 0.0]",,,,,,
"[-9.130, -13.370, 115.993, 80.731, -100.493, 303.073, 0.0, 1.0, 0.0]",,,,,,
"[-14.023, -10.179, 112.626, 83.624, -107.279, 314.258, 0.0, 1.0, 0.0]",,,,,,
"[-15.657, -8.645, 111.336, 82.989, -108.661, 314.347, 0.0, 1.0, 0.0]",,,,,,
